OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
72037,Steiner St&Vallejo St W-MI/PS,STEIVAL0,STEIVALL,6493,37.7949,-122.43684999999999,,VALLEJO ST,STEINER ST,MI,WE,,0,1724754766000,15649610,145,2,POINT (-122.43685 37.7949),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,4,6,30,102,102
70740,Parnassus Ave&Willard St SW-NS/SB,PARNWLR1,PARNWLRD,5898,37.764236,-122.4543,,WILLARD ST,PARNASSUS AVE,NS,SW,FL,0,1724754766000,15652940,145,8,POINT (-122.4543 37.764236),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,7,11,14,110,110
70188,Mason St&Greenwich St W-MI,MASNGNW1,MASNGNWH,5361,37.801829999999995,-122.412924,,GREENWICH ST,MASON ST,MI,WE,,1,1724754766000,15647120,145,3,POINT (-122.412924 37.80183),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,6,3,32,107,107
72051,Turk St&Larkin St NE-NS/BZ,TURKLAR0,TURKLARK,6720,37.782461,-122.417197,,LARKIN ST,TURK ST,NS,NE,BZ,0,1724754766000,15651109,145,5,POINT (-122.417197 37.782461),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,5,10,36,20,20
69472,Bryant St&16TH St SW-FS/BZ,BRYT16S0,BRYT16ST,3731,37.7653,-122.41054,,16TH ST,BRYANT ST,FS,SW,BZ,0,1724754766000,15644725,145,9,POINT (-122.41054 37.7653),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,3,2,20,53,53
70262,Haight St&Buchanan St NE-NS/BZ,HAITBUC0,HAITBUCH,4941,37.772559,-122.427356,,BUCHANAN ST,HAIGHT ST,NS,NE,BZ,0,1724754766000,15647429,145,5,POINT (-122.427356 37.772559),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,4,11,9,26,26
69844,Chenery St&Castro St NE-NS/SB,CHNYCTR0,CHNYCTRO,3967,37.7346,-122.43233000000001,,CASTRO ST,CHENERY ST,NS,NE,FL,0,1724754766000,15646103,145,8,POINT (-122.43233 37.7346),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,9,5,10,96,96
72003,Turk St&Parker Ave SW-NS/BZ,TURKPRK1,TURKPRKR,6728,37.777754,-122.453476,,PARKER AVE,TURK BLVD,NS,SW,BZ,1,1724754766000,15653072,145,1,POINT (-122.453476 37.777754),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,7,4,18,12,12
69913,Lawton St&Funston Ave NE-NS/PS,LAWTFUN0,LAWTFUNS,4858,37.7583,-122.47008,,FUNSTON AVE,LAWTON ST,NS,NE,FL,0,1724754766000,15646293,145,7,POINT (-122.47008 37.7583),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,10,8,14,109,109
70563,Pacific Ave&Polk St SE-FS/BZ,PACFPOL0,PACFPOLK,5851,37.794998,-122.42125,,POLK ST,PACIFIC AVE,FS,SE,,1,1724754766000,15648331,145,3,POINT (-122.42125 37.794998),09/04/2024 10:54:36 AM,09/07/2024 10:07:55 AM,4,3,32,105,105
