Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
103052,103052,AUBURN AVE NE @ JESSE HILL JR DR NE,-84379962,33755472,Sign Strapped to Pole,3,Atlanta
103060,103060,BOULEVARD NE @ OLD WHEAT ST NE,-84372080,33755851,Sign on Post,809,Atlanta
103083,103083,HILL ST SE @ WOODWARD AVE SE,-84379248,33745528,Sign on Post,9,Atlanta
103092,103092,MEMORIAL DR SE @ BEREAN AVE SE,-84366483,33746743,Sign on Post,21;107,Atlanta
103094,103094,MEMORIAL DR SE @ CAMERON ST SE,-84365114,33746603,Sign on Post,21;107,Atlanta
103100,103100,MEMORIAL DR SE @ PARK AVE SE,-84369350,33746651,Sign on Post,21;107,Atlanta
103108,103108,DECATUR ST SE @ HILL ST,-84379740,33749681,Sign on Post,26,Atlanta
103134,103134,MARIETTA ST NW @ PEACHTREE ST,-84390071,33754393,Bench,26;813,Atlanta
103138,103138,DECATUR ST SE @ CENTRAL AVE SW,-84387700,33753060,Sign Strapped to Pole,26;813,Atlanta
103162,103162,AUBURN AVE NE @ HILLIARD ST NE,-84376613,33755447,Sign Strapped to Pole,3,Atlanta
103168,103168,MEMORIAL DR @ PARK AVE,-84370146,33746777,Sign on Post,21;107,Atlanta
103169,103169,MEMORIAL DR SE @ HILL ST SE,-84380186,33746948,Sign on Post,21;107,Atlanta
103170,103170,MEMORIAL DR @ GRANT ST,-84377048,33746892,Sign on Post,9;21;107,Atlanta
103193,103193,JACKSON ST SE @ CHAMBERLAIN ST SE,-84374264,33753756,Sign on Post,899,Atlanta
103196,103196,AUBURN AVE @ WILLIAM H BORDERS SR DR,-84375167,33755465,Sign Strapped to Pole,3,Atlanta
103198,103198,MEMORIAL DR @ GRANT ST SE,-84375944,33746757,Bench,21;107,Atlanta
103200,103200,GRANT ST @ MEMORIAL DR,-84376695,33747015,Sign on Post,9,Atlanta
103202,103202,MEMORIAL DR @ CHEROKEE AVE,-84373182,33746713,Sign on Post,21;107,Atlanta
103900,103900,KING MEMORIAL STATION,-84375881,33749978,Stop at Rail Station,9;9;809;809;899,Atlanta
104012,104012,MORELAND AVE SE @ SANDERS AVE SE,-84349267,33741948,Shelter,4;32;74,Atlanta
104013,104013,MORELAND AVE SE @ GLENWOOD AVE,-84349403,33740623,Sign on Post,4,Atlanta
104048,104048,MEMORIAL DR SE @ MORELAND AVE SE,-84348541,33747641,Bench,21,Atlanta
104050,104050,MEMORIAL DR SE @ MORELAND AVE SE,-84348269,33747570,Bench,21,Atlanta
104052,104052,MEMORIAL DR SE @ FLAT SHOALS AVE SE,-84350372,33747425,Sign on Post,21,Atlanta
104054,104054,MEMORIAL DR SE @ HOWELL DR SE,-84350682,33747238,Sign on Post,21,Atlanta
104056,104056,MEMORIAL DR SE @ WILBUR AVE SE,-84352554,33747028,Sign on Post,21,Atlanta
104058,104058,MEMORIAL DR SE @ WILBUR AVE SE,-84353043,33746651,Sign on Post,21,Atlanta
104064,104064,MEMORIAL DR SE @ GIBSON ST SE,-84355378,33746467,Sign on Post,21,Atlanta
104066,104066,MEMORIAL DR SE @ HOLTZCLAW ST SE,-84356575,33746719,Simme Seat,21,Atlanta
104068,104068,MEMORIAL DR SE @ BILL KENNEDY WAY SE,-84358023,33746645,Shelter,21,Atlanta
104070,104070,MEMORIAL DR SE @ BILL KENNEDY WAY,-84358497,33746556,Shelter,21;107,Atlanta
104076,104076,MEMORIAL DR SE @ PEARL ST SE,-84361935,33746695,Shelter,21;107,Atlanta
104078,104078,MEMORIAL DR SE @ PEARL ST SE,-84361791,33746591,Sign on Post,21;107,Atlanta
104436,104436,MEMORIAL DR SE @ VENICE DR,-84286047,33747217,Sign on Post,21;823,DeKalb
105002,105002,FLAT SHOALS AVE SE @ MAY AVE SE,-84344049,33739058,Sign on Post,32;74,Atlanta
105004,105004,FLAT SHOALS AVE SE @ MILTON PL SE,-84341777,33736149,Sign on Post,32;74,Atlanta
