Stop ID,Stop Name,Location
1040067,ON 40TH AT METROPOLITAN NORTHBOUND,"(39.073048, -94.674789)"
26018,ON TROOST AT 55TH NB,"(39.027325, -94.57373)"
2960033,ON BLUE RIDGE BLVD AT 103RD TERR SOUTHBOUND,"(38.937266, -94.508672)"
5461548,ON JOHNSON DRIVE AT IKEA WAY WB FARSIDE,"(39.022292, -94.690601)"
1750043,ON 75TH AT MADISON WESTBOUND,"(38.992758, -94.601028)"
106154,ON 3RD ST AT STATE AVE NB,"(39.116616, -94.616002)"
1930026,ON LEXINGTON AT PLEASANT WESTBOUND FARSIDE,"(39.092332, -94.421485)"
1230002,ON PARK TOWER DR AT WHEELING EASTBOUND,"(39.084823, -94.51222)"
1070090,ON 7TH AT TAUROMEE NORTHBOUND,"(39.111631, -94.626725)"
1131522,ON LEAVENWORTH RD AT 47TH ST WB,"(39.142951, -94.686806)"
951617,ON 95TH AT PFLUMM RD EASTBOUND FARSIDE,"(38.956418, -94.74203)"
1080231,ON INDIANA AT 31ST SOUTHBOUND,"(39.069613, -94.543701)"
390126,ON 39TH AT PENNSYLVANIA EASTBOUND,"(39.056771, -94.593194)"
2900011,ON PRAIRIE VIEW AT 7520 PRAIRIE VIEW RD SB,"(39.231708, -94.657859)"
2800285,ON 47TH AT 9500 WESTBOUND,"(39.036975, -94.467529)"
7100153,ON PROSPECT AT LINWOOD SOUTHBOUND,"(39.067871, -94.553017)"
5500211,ON 95TH TERR AT GRANDVIEW EASTBOUND NEAR,"(38.954658, -94.551033)"
25140,ON TROOST AT 86TH TERR NORTHBOUND,"(38.970647, -94.576623)"
113016,ON PARALLEL AVE AT N  88TH ST  EASTBOUND,"(39.128539, -94.78331)"
2800049,ON BLUE RIDGE BLVD AT 7915 BLUE RIDGE NORTHBOUND,"(38.979525, -94.487244)"
1040090,ON 7TH AT STEIN NORTHBOUND,"(39.07266, -94.62267)"
114006,ON STATE AVE  AT N  59TH PL WB,"(39.116803, -94.716261)"
217,EAST VILLAGE BAY M,"(39.098998, -94.573902)"
1040018,ON 10TH AT MINNESOTA SOUTHBOUND,"(39.115424, -94.635209)"
11182,ON BENTON BLVD AT ANDERSON SOUTHBOUND NEARSIDE,"(39.111593, -94.544422)"
2401093,ON LEXINGTON AT ELM NORTHBOUND,"(39.088546, -94.431306)"
1550006,ON CLEVELAND AT 53RD NORTHBOUND,"(39.029576, -94.541078)"
121202,ON 12TH ST AT DENVER EB,"(39.097776, -94.522155)"
7100082,ON TRUMAN AT TROOST WESTBOUND NEARSIDE,"(39.095427, -94.569963)"
1750092,ON 75TH AT PASEO EASTBOUND,"(38.99111, -94.566653)"
25010,ON 12TH AT TROOST EASTBOUND,"(39.099424, -94.570095)"
25040,ON TROOST AT CLEAVER II SOUTHBOUND,"(39.041824, -94.572998)"
1010066,ON LEAVENWORTH RD AT N 51ST WESTBOUND,"(39.142976, -94.698548)"
3100015,ON 31ST AT INDIANA WB,"(39.069612, -94.543824)"
2800066,ON BLUE RIDGE CUT OFF AT 62ND TERRACE NORTHBOUND,"(39.010843, -94.481783)"
562309,ON GRAND ACROSS FROM CROWN CTR SHOPS NB MB,"(39.083402, -94.581604)"
163151,ON 63RD ST AT BLUE RIDGE EB,"(39.009494, -94.482135)"
2800280,ON 47TH AT HARVARD WESTBOUND,"(39.037016, -94.449802)"
240016,ON 23RD AT LOGAN EB,"(39.078742, -94.40465)"
6300071,ON 63RD STREET AT BELLEFONTAINE EB,"(39.012147, -94.550489)"
951650,ON 95TH AT HARDY DR WESTBOUND,"(38.956783, -94.680976)"
2800016,ON BLUE RIDGE BLVD AT 105TH NORTHBOUND,"(38.933737, -94.507995)"
2700027,ON 27TH AT ELMWOOD WESTBOUND,"(39.076386, -94.529424)"
711501,ON TRUMAN AT WOODLAND EASTBOUND FARSIDE,"(39.094982, -94.560756)"
106182,ON N 34TH AT LONGWOOD SOUTHBOUND,"(39.136591, -94.668759)"
106181,ON N 34TH ST AT LONGWOOD NORTHBOUND,"(39.13641, -94.668622)"
101154,ON STATE AVE AT 82ND EB,"(39.11622, -94.769007)"
272502,ON 27TH AT WOODLAND WB,"(39.07744, -94.561602)"
5751561,ON 75TH ST AT ANTIOCH EASTBOUND NEARSIDE,"(38.99296, -94.686859)"
7100186,ON PROSPECT AT 64TH SOUTHBOUND,"(39.010245, -94.55635)"
571727,ON WORNALL AT 133RD ST SOUTHBOUND,"(38.886693, -94.595587)"
1750036,ON 75TH AT OAK WESTBOUND,"(38.991985, -94.584798)"
5100057,ON BROADWAY AT VALENTINE RD NORTHBOUND,"(39.061205, -94.590436)"
5300136,ON 67TH AT JACKSON EASTBOUND,"(39.004413, -94.538043)"
2800195,ON GRAND AT 19TH SOUTHBOUND FARSIDE,"(39.090168, -94.581469)"
2220019,ON GRAND AT 22ND SOUTHBOUND,"(39.086449, -94.581633)"
1090009,ON 12TH AT TOPPING WESTBOUND FARSIDE,"(39.09767, -94.514752)"
5610010,ON WORNALL AT 107TH NORTHBOUND,"(38.933873, -94.59628)"
29184,ON 129TH AT WHITE AVE EASTBOUND,"(38.891558, -94.524018)"
7100002,ON CLEVELAND AT 72ND NORTHBOUND,"(38.995487, -94.542969)"
7100058,ON PROSPECT AT 29TH NORTHBOUND,"(39.072843, -94.552616)"
5751577,ON 75TH ST AT WOODSON EASTBOUND NEARSIDE,"(38.99306, -94.653636)"
1090059,ON MARYLOU WMS AT HIGHLAND EB,"(39.102281, -94.561805)"
7100055,ON PROSPECT AT LINWOOD NORTHBOUND,"(39.067943, -94.552859)"
1030003,ON 5TH ST  AT FREEMAN AVE NB,"(39.121323, -94.621319)"
5400090,ON PASEO AT VOLKER SOUTHBOUND,"(39.04008, -94.568555)"
5600069,ON WORNALL AT 84TH SOUTHBOUND,"(38.976089, -94.595085)"
571722,ON WORNALL AT SANTA FE TRAIL SOUTHBOUND,"(38.910023, -94.593838)"
2800099,ON BLUE RIDGE BLVD AT 44TH TERRACE NORTHBOUND,"(39.041343, -94.436857)"
282331,ON 40 HWY AT 5601 E 40 HWY WESTBOUND,"(39.068267, -94.517769)"
1080202,ON 18TH BETWEEN GROVE AND PASEO EASTBOUND,"(39.091174, -94.565019)"
