epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,825.936,0.71933,0.5207,0.8737,0.90632,0.75367,0.82223,0.59728,0.98462,0.75655,0.97333,0.000560859,0.000560859,0.000560859
134,831.91,0.70827,0.51524,0.88778,0.92356,0.72689,0.82337,0.60294,0.94983,0.7623,0.97396,0.000558797,0.000558797,0.000558797
135,837.541,0.71915,0.51294,0.87519,0.92212,0.71898,0.79647,0.58218,0.95972,0.82452,0.9747,0.000556736,0.000556736,0.000556736
136,843.153,0.70721,0.49042,0.88124,0.88445,0.71875,0.78511,0.56856,0.99015,0.80195,0.98771,0.000554674,0.000554674,0.000554674
137,849.002,0.72976,0.51507,0.87981,0.85502,0.73388,0.7949,0.57339,0.97879,0.83339,0.97941,0.000552612,0.000552612,0.000552612
138,855.477,0.70067,0.47926,0.87032,0.86374,0.72525,0.7988,0.57985,0.97853,0.80583,0.97613,0.000550551,0.000550551,0.000550551
139,861.61,0.72533,0.51978,0.88611,0.91485,0.70016,0.80963,0.58826,0.96343,0.79959,0.97255,0.000548489,0.000548489,0.000548489
140,867.755,0.71143,0.52305,0.88992,0.82096,0.77278,0.80774,0.58445,0.9566,0.81183,0.96226,0.000546427,0.000546427,0.000546427
141,873.558,0.70448,0.49974,0.87728,0.86733,0.73762,0.78713,0.57566,0.95339,0.81979,0.96467,0.000544365,0.000544365,0.000544365
142,879.28,0.69857,0.49099,0.86938,0.87134,0.72449,0.78267,0.57647,0.96052,0.79421,0.96954,0.000542304,0.000542304,0.000542304
143,885.867,0.68686,0.50861,0.87528,0.83273,0.76242,0.79334,0.5765,0.96884,0.76286,0.97913,0.000540242,0.000540242,0.000540242
144,891.905,0.70279,0.50857,0.88469,0.85397,0.75212,0.79422,0.57186,0.98682,0.78434,0.97934,0.00053818,0.00053818,0.00053818
